type,image,truth,pred,recomputed_pred,correct,crop_path,column,chosen_digit,filled_digits,argmax_digit,min_count,threshold,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,7,?,,9,317,437,359,333,359,330,350,360,359,317,366,382
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,8,?,,2,314,434,363,338,368,358,359,351,360,314,347,348
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,1,3,3,3,326,446,348,346,367,534,370,380,361,326,351,381
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,2,6,6,6,335,455,379,335,362,355,357,374,508,336,369,381
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,3,1,1,1,346,466,379,531,352,376,367,382,392,346,379,382
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,4,2,2,2,335,455,390,344,481,355,343,387,386,335,368,387
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,5,?,,8,313,433,350,354,365,372,359,368,363,313,380,378
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,6,?,,5,339,459,382,340,371,369,360,422,381,339,367,363
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,7,?,,0,326,446,388,345,341,371,359,364,381,326,370,387
mssv,69ce96efbac83b9662d9.jpg,36128594,3612????,3612????,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,8,?,,4,332,452,375,345,379,362,392,363,366,332,373,366
